ticker,date,sector,52WeekChange,ask,bid,52WeekHigh,52WeekLow,dailyOpen,previousClose,dailyVolume,quickRatio,10DayAverageVolume,marketCap,dayHigh,dayLow
AVGO,2023-07-14,Technology,80.06715,891.47,890.6,921.78,415.07,886.16,890.36,1041364,1.942,2235710,366220771328,903.22,886.16
ORCL,2023-07-14,Technology,66.03054,118.81,118.75,127.54,60.78,118.18,117.45,4331573,0.775,8408790,321965522944,119.97,117.7
HD,2023-07-14,Consumer Cyclical,7.5886607,315.35,315.29,347.25,265.61,314.84,314.6,1176351,0.215,3296350,317101867008,316.8799,314.275
MRK,2023-07-14,Healthcare,11.962927,107.19,107.17,119.65,84.52,106.26,106.32,2502039,0.95,7181520,272191176704,107.66,106.26
CVX,2023-07-14,Energy,14.4279,153.98,153.99,189.68,136.43,157.01,157.51,3191671,1.028,6221010,287222300672,156.63,153.57
KO,2023-07-14,Consumer Defensive,-3.4399986,60.72,60.71,65.47,54.02,60.14,60.35,5050880,0.809,14541570,262761463808,60.78,60.09
PEP,2023-07-14,Consumer Defensive,9.589767,187.86,187.84,196.88,160.98,187.86,187.53,1690178,,,,,
ABBV,2023-07-14,Healthcare,-13.038665,135.81,135.8,168.11,130.96,134.73,133.59,1968010,0.659,5607370,242556272640,136.065,134.12
COST,2023-07-14,Consumer Defensive,2.9639602,544.01,543.71,564.75,447.9,538.71,538.45,872020,0.511,1723740,241240915968,545.0,538.1
BAC,2023-07-14,Financial Services,-7.999998,29.25,29.24,38.6,26.32,30.0,29.67,29629313,,,,,
ADBE,2023-07-14,Technology,36.17649,519.26,518.55,523.785,274.73,517.34,517.28,1176443,1.033,2537970,239979708416,523.785,517.13
MCD,2023-07-14,Consumer Cyclical,15.768003,295.21,295.06,299.1,230.58,295.25,295.22,637075,1.251,2054830,215808491520,295.63,294.03
CSCO,2023-07-14,Technology,19.642448,50.3,50.29,52.56,38.6,50.42,51.53,10032690,1.107,16247700,204690259968,50.97,50.055
CRM,2023-07-14,Technology,37.63293,229.58,229.56,232.07,126.34,229.7,230.37,2377842,0.86,5313360,223026626560,232.07,228.8
PFE,2023-07-14,Healthcare,-30.318838,36.24,36.23,54.93,35.35,36.3,36.06,8141968,0.969,22053450,204727156736,36.365,36.005
TMO,2023-07-14,Healthcare,-2.2677064,527.94,527.51,611.06,475.77,529.67,526.65,338210,0.805,1227070,203747459072,530.13,525.31
NFLX,2023-07-14,Communication Services,138.15768,447.18,446.49,456.48,174.56,452.785,450.38,4134734,1.065,5268120,198478659584,456.48,445.96
ABT,2023-07-14,Healthcare,-0.992465,108.25,108.23,115.69,93.25,108.0,107.74,1657804,1.07,4442320,188319596544,108.43,107.18
AMD,2023-07-14,Technology,42.917027,117.98,117.97,132.83,54.57,116.17,115.92,63774014,1.518,48881550,188468494336,122.12,115.68
DHR,2023-07-14,Healthcare,-6.634605,240.08,239.99,303.82,221.22,239.83,238.81,1416822,1.349,2437890,177261789184,241.17,239.04
CMCSA,2023-07-14,Communication Services,4.058683,42.17,42.16,43.72,28.39,41.93,42.56,5157992,0.55,14577260,175987163136,42.265,41.8
TMUS,2023-07-14,Communication Services,2.4168253,140.12,140.08,154.38,124.92,138.97,140.69,1807825,0.603,3623920,170097262592,140.33,138.47
NKE,2023-07-14,Consumer Cyclical,2.9990435,107.72,107.74,131.31,82.22,107.94,107.84,3646026,1.6,9143160,165426397184,108.635,107.19
DIS,2023-07-14,Communication Services,-4.968488,88.73,88.71,126.48,84.07,90.41,90.47,10356179,0.826,12460470,162300788736,90.49,88.675
WFC,2023-07-14,Financial Services,6.272793,43.58,43.57,48.84,35.25,44.75,43.71,21277818,,,,,
TXN,2023-07-14,Technology,14.065027,181.9,181.87,186.3,145.97,181.61,183.12,1615070,3.933,4305450,164435132416,183.03,181.0
VZ,2023-07-14,Communication Services,-32.105057,34.14,34.13,51.17,33.72,34.43,34.64,17563782,0.54,21968830,143717613568,34.5,33.945
UPS,2023-07-14,Industrials,1.5170574,184.78,184.7,209.39,154.87,184.78,185.36,1068663,1.228,3221240,161890172928,185.665,183.9
PM,2023-07-14,Consumer Defensive,11.432695,100.11,100.07,105.62,82.85,100.37,100.49,864238,0.306,3912970,155483865088,100.65,99.7501
NEE,2023-07-14,Utilities,-6.3524303,73.48,73.47,91.35,69.64,73.48,73.71,3049614,0.245,7226670,148903477248,73.63,72.79
RTX,2023-07-14,Industrials,6.5110207,95.92,95.91,104.91,80.27,97.09,97.17,1363261,0.715,3989960,140079497216,97.15,95.865
MS,2023-07-14,Financial Services,10.454834,85.96,85.94,100.99,74.67,87.41,86.21,4011833,1.67,7641750,143295447040,87.41,85.56
INTC,2023-07-14,Technology,-12.299329,33.41,33.4,40.73,24.59,33.78,33.87,12327054,1.152,33049990,138810884096,33.87,33.2701
HON,2023-07-14,Industrials,20.781254,206.15,206.08,220.96,166.63,207.91,208.71,827913,0.854,2463190,137429016576,207.84,205.5
